State,District,Market,Commodity,Variety,Date,MIN Price,MAX Price,MODAL Price
Andhra Pradesh,Cuddapah,Cuddapah,Rice,Coarse,06/29/2011,1550,1750,1650
Andhra Pradesh,Cuddapah,Cuddapah,Rice,Coarse,06/30/2011,1550,1750,1650
Andhra Pradesh,Cuddapah,Cuddapah,Rice,Fine,06/29/2011,2000,2200,2100
Andhra Pradesh,Cuddapah,Cuddapah,Rice,Fine,06/30/2011,2000,2200,2100
Andhra Pradesh,Cuddapah,Kamalapuram,Rice,Other,09/28/2011,1800,1800,1800
Andhra Pradesh,Cuddapah,Kamalapuram,Rice,Other,11/01/2011,1872,1872,1872
Andhra Pradesh,East Godavari,Pithapuram,Rice,B P T,06/27/2011,2400,2400,2400
Andhra Pradesh,East Godavari,Tellarevu,Rice,Medium,12/02/2011,2600,2800,2700
Andhra Pradesh,East Godavari,Tellarevu,Rice,Medium,12/03/2011,1600,2000,1800
Andhra Pradesh,East Godavari,Tellarevu,Rice,Rice Floor,12/01/2011,2600,2800,2700
Andhra Pradesh,Guntur,Chilakaluripet,Rice,B P T,03/01/2011,2200,2400,2300
Andhra Pradesh,Guntur,Chilakaluripet,Rice,B P T,03/02/2011,2200,2400,2300
Andhra Pradesh,Guntur,Chilakaluripet,Rice,B P T,03/03/2011,2200,2400,2300
Andhra Pradesh,Guntur,Chilakaluripet,Rice,B P T,03/04/2011,2200,2400,2300
Andhra Pradesh,Guntur,Chilakaluripet,Rice,B P T,03/05/2011,2200,2400,2300
Andhra Pradesh,Guntur,Chilakaluripet,Rice,B P T,03/07/2011,2200,2400,2300
Andhra Pradesh,Guntur,Chilakaluripet,Rice,B P T,03/08/2011,2200,2400,2300
Andhra Pradesh,Guntur,Chilakaluripet,Rice,B P T,03/09/2011,2200,2400,2300
Andhra Pradesh,Guntur,Chilakaluripet,Rice,B P T,03/10/2011,2200,2400,2300
Andhra Pradesh,Guntur,Chilakaluripet,Rice,B P T,03/11/2011,2300,2500,2400
Andhra Pradesh,Guntur,Chilakaluripet,Rice,B P T,03/12/2011,2300,2500,2400
Andhra Pradesh,Guntur,Guntur,Rice,B P T,05/09/2011,1500,2000,1800
Andhra Pradesh,Guntur,Ipur,Rice,B P T,12/15/2011,2600,2800,2700
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/01/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/02/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/03/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/04/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/05/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/06/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/07/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/08/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/09/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/10/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/11/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/12/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/13/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/15/2011,2200,2500,2350
Andhra Pradesh,Guntur,Kuchinapudi,Rice,B P T,05/16/2011,2200,2500,2350
