State,District,Market,Commodity,Variety,Date,MIN Price,MAX Price,MODAL Price
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/01/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/02/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/03/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/05/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/06/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/07/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/12/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/20/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/21/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/22/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/23/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/24/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/25/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/26/2009,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/27/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/28/2009,2000,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/29/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/30/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/31/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/03/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/04/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/05/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/06/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/07/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/08/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/09/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/10/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/11/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/12/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/13/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/14/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/15/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/16/2009,2200,2400,2300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/17/2009,2200,2400,2300
