State,District,Market,Commodity,Variety,Date,MIN Price,MAX Price,MODAL Price
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,01/30/2009,1028,1110,1074
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/02/2009,1040,1052,1045
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/03/2009,1023,1069,1049
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/04/2009,1031,1080,1045
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/05/2009,1011,1045,1038
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/06/2009,1035,1050,1035
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/07/2009,1025,1034,1025
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/09/2009,1040,1060,1050
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/10/2009,1035,1090,1065
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/11/2009,1029,1060,1040
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/12/2009,1030,1050,1035
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/13/2009,1025,1075,1050
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/14/2009,1020,1060,1044
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/16/2009,1025,1090,1055
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/17/2009,1025,1040,1030
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/18/2009,1024,1040,1030
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/19/2009,1019,1060,1030
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/20/2009,1004,1080,1042
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/21/2009,1000,1050,1040
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/24/2009,1010,1055,1045
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/25/2009,1035,1064,1045
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/26/2009,1039,1092,1055
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/02/2009,1040,1100,1064
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/03/2009,1035,1105,1055
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/04/2009,1050,1070,1050
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/06/2009,1030,1050,1040
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/09/2009,1030,1050,1035
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/12/2009,1048,1050,1048
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/13/2009,1000,1030,1010
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/14/2009,1020,1020,1020
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/16/2009,1030,1036,1035
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/17/2009,1025,1040,1030
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/18/2009,966,1050,1030
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/19/2009,1025,1065,1040
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/20/2009,985,1028,1018
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/21/2009,1020,1050,1035
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/23/2009,966,1042,1026
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/25/2009,1011,1061,1027
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/26/2009,980,1040,1004
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/27/2009,950,1060,1021
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/28/2009,1001,1075,1004
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/30/2009,994,1087,1026
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/31/2009,995,1041,1030
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/01/2009,1010,1060,1035
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/02/2009,994,1055,1020
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/03/2009,1010,1056,1026
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/04/2009,990,1025,1009
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/06/2009,1000,1060,1005
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/08/2009,996,1099,1015
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/09/2009,991,1011,1011
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/10/2009,990,1071,991
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/11/2009,970,1121,1010
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/13/2009,1009,1125,1023
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/14/2009,1010,1100,1050
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/15/2009,990,1170,1030
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/16/2009,990,1138,1025
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/17/2009,997,1145,1011
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/20/2009,990,1120,1010
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/21/2009,1015,1149,1026
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/22/2009,961,1180,1020
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/23/2009,999,1100,1029
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/24/2009,990,1150,1022
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/28/2009,966,1150,1012
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/29/2009,995,1013,1008
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/30/2009,1000,1150,1100
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/01/2009,1030,1160,1100
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/02/2009,990,1130,1101
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/04/2009,1015,1045,1015
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/08/2009,1000,1000,1000
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/09/2009,1000,1141,1020
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/11/2009,1017,1141,1033
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/12/2009,1036,1126,1036
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/13/2009,1007,1160,1030
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/14/2009,1040,1153,1055
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/15/2009,1050,1160,1050
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/16/2009,1050,1180,1075
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/18/2009,1050,1191,1074
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/19/2009,1077,1205,1110
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/20/2009,1080,1106,1090
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/21/2009,1040,1118,1060
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/22/2009,1128,1203,1150
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/23/2009,1000,1106,1050
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/25/2009,1070,1175,1140
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/26/2009,1080,1195,1160
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/27/2009,1090,1090,1090
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/28/2009,1050,1213,1140
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,05/29/2009,1060,1099,1080
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/01/2009,1076,1202,1150
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/02/2009,1070,1186,1150
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/03/2009,1050,1095,1080
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/04/2009,1079,1185,1150
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/05/2009,1050,1184,1100
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/08/2009,1069,1109,1090
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/09/2009,975,1100,1050
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/10/2009,990,1177,1090
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/11/2009,1041,1229,1090
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/12/2009,1060,1178,1075
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/13/2009,1042,1074,1060
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/15/2009,1050,1221,1070
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/16/2009,985,1099,1070
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/17/2009,1060,1092,1092
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/18/2009,1052,1141,1141
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/19/2009,1085,1085,1085
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,06/20/2009,995,1075,1075
Andhra Pradesh,Karimnagar,Karimnagar,Wheat,Local,03/24/2009,1110,1110,1110
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,06/30/2009,1050,1080,1060
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,09/02/2009,1080,1098,1084
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,09/03/2009,1075,1085,1080
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,09/04/2009,1070,1090,1085
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,09/05/2009,1070,1085,1080
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,09/06/2009,1082,1105,1090
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,09/07/2009,1074,1108,1085
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,09/08/2009,1086,1104,1094
