"Title-module__anchor--GmXUE href","Title-module__anchor--GmXUE","ReposListItem-module__Label_2--Z6b0K","Text__StyledText-sc-1klmep6-0","ReposListItem-module__Text_4--mkG7R","ReposListItem-module__Link_1--v5NDF","ReposListItem-module__Link_1--v5NDF href","ReposListItem-module__Link_1--v5NDF 2","ReposListItem-module__Link_1--v5NDF href 2","ReposListItem-module__Box_6--KXqca 3","ReposListItem-module__Link_1--v5NDF 3","ReposListItem-module__Link_1--v5NDF href 3"
"https://github.com/frappe/hrms","hrms","Public","Open Source HR and Payroll Software","Python","1.8k","https://github.com/frappe/hrms/forks","6.9k","https://github.com/frappe/hrms/stargazers","•","14","https://github.com/frappe/hrms/pulls"
"https://github.com/frappe/books","books","Public","Free Accounting Software","TypeScript","915","https://github.com/frappe/books/forks","3.8k","https://github.com/frappe/books/stargazers","•","23","https://github.com/frappe/books/pulls"
"https://github.com/frappe/erpnext","erpnext","Public","Free and Open Source Enterprise Resource Planning (ERP)","Python","9.7k","https://github.com/frappe/erpnext/forks","30k","https://github.com/frappe/erpnext/stargazers","•","66","https://github.com/frappe/erpnext/pulls"
"https://github.com/frappe/press","press","Public","Full service cloud hosting for the Frappe stack - powers Frappe Cloud","Python","302","https://github.com/frappe/press/forks","436","https://github.com/frappe/press/stargazers","•","34","https://github.com/frappe/press/pulls"
"https://github.com/frappe/frappe-ui","frappe-ui","Public","A set of components and utilities for rapid UI development","Vue","247","https://github.com/frappe/frappe-ui/forks","723","https://github.com/frappe/frappe-ui/stargazers","•","20","https://github.com/frappe/frappe-ui/pulls"
"https://github.com/frappe/agent","agent","Public","Works with","Python","114","https://github.com/frappe/agent/forks","96","https://github.com/frappe/agent/stargazers","•","8","https://github.com/frappe/agent/pulls"
"https://github.com/frappe/frappe","frappe","Public","Low code web framework for real world applications, in Python and Javascript","Python","4.4k","https://github.com/frappe/frappe/forks","9.3k","https://github.com/frappe/frappe/stargazers","•","105","https://github.com/frappe/frappe/pulls"
"https://github.com/frappe/lms","lms","Public","Easy to Use, 100% Open Source Learning Management System","Vue","978","https://github.com/frappe/lms/forks","2.4k","https://github.com/frappe/lms/stargazers","•","12","https://github.com/frappe/lms/pulls"
"https://github.com/frappe/builder","builder","Public","Craft beautiful websites effortlessly with an intuitive visual builder and publish them instantly","Vue","292","https://github.com/frappe/builder/forks","914","https://github.com/frappe/builder/stargazers","•","3","https://github.com/frappe/builder/pulls"
"https://github.com/frappe/mail","mail","Public","Frappe Mail","Python","60","https://github.com/frappe/mail/forks","156","https://github.com/frappe/mail/stargazers","•","1","https://github.com/frappe/mail/pulls"
"https://github.com/frappe/helm","helm","Public","Helm Chart Repository for Frappe/ERPNext","Python","149","https://github.com/frappe/helm/forks","181","https://github.com/frappe/helm/stargazers","•","1","https://github.com/frappe/helm/pulls"
"https://github.com/frappe/frappe_docker","frappe_docker","Public","Docker images for production and development setups of the Frappe framework and ERPNext","Python","2.1k","https://github.com/frappe/frappe_docker/forks","2.1k","https://github.com/frappe/frappe_docker/stargazers","•","4","https://github.com/frappe/frappe_docker/pulls"
"https://github.com/frappe/studio","studio","Public","Visual App Builder for the Frappe Framework","Vue","56","https://github.com/frappe/studio/forks","203","https://github.com/frappe/studio/stargazers","•","3","https://github.com/frappe/studio/pulls"
"https://github.com/frappe/crm","crm","Public","Fully featured, open source CRM","Vue","700","https://github.com/frappe/crm/forks","2k","https://github.com/frappe/crm/stargazers","•","13","https://github.com/frappe/crm/pulls"
"https://github.com/frappe/drive","drive","Public","100% open source file storage, sharing, and collaboration","Vue","222","https://github.com/frappe/drive/forks","531","https://github.com/frappe/drive/stargazers","•","8","https://github.com/frappe/drive/pulls"
"https://github.com/frappe/helpdesk","helpdesk","Public","Modern, Streamlined, Free and Open Source Customer Service Software","Vue","591","https://github.com/frappe/helpdesk/forks","2.8k","https://github.com/frappe/helpdesk/stargazers","•","22","https://github.com/frappe/helpdesk/pulls"
"https://github.com/frappe/lending","lending","Public","Open Source Lending software","Python","197","https://github.com/frappe/lending/forks","210","https://github.com/frappe/lending/stargazers","•","4","https://github.com/frappe/lending/pulls"
"https://github.com/frappe/insights","insights","Public","Open Source Business Intelligence Tool","Vue","376","https://github.com/frappe/insights/forks","737","https://github.com/frappe/insights/stargazers","•","2","https://github.com/frappe/insights/pulls"
"https://github.com/frappe/print_designer","print_designer","Public","Visual print designer for Frappe / ERPNext","JavaScript","216","https://github.com/frappe/print_designer/forks","363","https://github.com/frappe/print_designer/stargazers","•","14","https://github.com/frappe/print_designer/pulls"
"https://github.com/frappe/bench","bench","Public","CLI to manage Multi-tenant deployments for Frappe apps","Python","1.3k","https://github.com/frappe/bench/forks","1.6k","https://github.com/frappe/bench/stargazers","•","3","https://github.com/frappe/bench/pulls"
"https://github.com/frappe/otto","otto","Public","Coming later to a Frappe Cloud near you 🐢","Python","13","https://github.com/frappe/otto/forks","58","https://github.com/frappe/otto/stargazers","•","1","https://github.com/frappe/otto/pulls"
"https://github.com/frappe/gantt","gantt","Public","Open Source Javascript Gantt","JavaScript","1.2k","https://github.com/frappe/gantt/forks","5.7k","https://github.com/frappe/gantt/stargazers","•","26","https://github.com/frappe/gantt/pulls"
"https://github.com/frappe/slides","slides","Public","","Vue","7","https://github.com/frappe/slides/forks","24","https://github.com/frappe/slides/stargazers","•","1","https://github.com/frappe/slides/pulls"
"https://github.com/frappe/erpnext-shipping","erpnext-shipping","Public","A Shipping Integration for ERPNext","Python","115","https://github.com/frappe/erpnext-shipping/forks","113","https://github.com/frappe/erpnext-shipping/stargazers","•","1","https://github.com/frappe/erpnext-shipping/pulls"
"https://github.com/frappe/wiki","wiki","Public","Free and Open Source Wiki built on top of Frappe","Python","259","https://github.com/frappe/wiki/forks","349","https://github.com/frappe/wiki/stargazers","•","2","https://github.com/frappe/wiki/pulls"
"https://github.com/frappe/gameplan","gameplan","Public","Open Source Discussions Platform for Remote Teams","Python","197","https://github.com/frappe/gameplan/forks","416","https://github.com/frappe/gameplan/stargazers","•","2","https://github.com/frappe/gameplan/pulls"
"https://github.com/frappe/llm","llm","Public archive","","Python","0","https://github.com/frappe/llm/forks","14","https://github.com/frappe/llm/stargazers","•","0","https://github.com/frappe/llm/pulls"
"https://github.com/frappe/telephony","telephony","Public","Telephony for Frappe apps","Python","13","https://github.com/frappe/telephony/forks","6","https://github.com/frappe/telephony/stargazers","•","0","https://github.com/frappe/telephony/pulls"
"https://github.com/frappe/blog","blog","Public","Write and publish blog","Python","9","https://github.com/frappe/blog/forks","7","https://github.com/frappe/blog/stargazers","•","0","https://github.com/frappe/blog/pulls"
"https://github.com/frappe/pypika","pypika","Public","PyPika is a python SQL query builder that exposes the full richness of the SQL language using a syntax that reflects the resulting query. PyPika excels at all sorts of SQL queries but is especially useful for data analysis.","Python","316","https://github.com/frappe/pypika/forks","1","https://github.com/frappe/pypika/stargazers","•","1","https://github.com/frappe/pypika/pulls"
