State,District,Market,Commodity,Variety,Date,MIN Price,MAX Price,MODAL Price
Andhra Pradesh,Cuddapah,Cuddapah,Rice,Other,09/06/2008,1300,1600,1400
Andhra Pradesh,Cuddapah,Cuddapah,Rice,Other,09/10/2008,1300,1500,1400
Andhra Pradesh,Cuddapah,Cuddapah,Rice,Other,09/14/2008,1300,1600,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/01/2008,1350,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/07/2008,1350,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/08/2008,1350,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/09/2008,1350,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/10/2008,1350,1550,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/11/2008,1350,1550,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/16/2008,1350,1550,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/17/2008,1350,1550,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/18/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/21/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/22/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/23/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/24/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/25/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/26/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/27/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/28/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/29/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/30/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,01/31/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/01/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/02/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/04/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/05/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/06/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/07/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/08/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/11/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/12/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/13/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/14/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/15/2008,1200,1400,1300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/16/2008,1200,1450,1300
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/18/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/19/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/20/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/22/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/23/2008,1300,1500,1400
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/25/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/26/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/27/2008,1350,1600,1500
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/28/2008,1300,1600,1500
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,02/29/2008,1300,1600,1500
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/01/2008,1300,1600,1500
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/02/2008,1300,1600,1500
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/03/2008,1300,1550,1425
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/04/2008,1300,1550,1425
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/05/2008,1300,1550,1425
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/07/2008,1300,1600,1550
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/10/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/11/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/12/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/13/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/14/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/15/2008,1300,1550,1425
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/17/2008,1300,1520,1410
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/18/2008,1300,1520,1410
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/19/2008,1300,1520,1410
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/24/2008,1400,1500,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/25/2008,1350,1525,1438
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/26/2008,1350,1525,1438
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/27/2008,1350,1525,1438
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/28/2008,1350,1525,1438
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/29/2008,1350,1525,1438
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/30/2008,1350,1525,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,03/31/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/01/2008,1350,1530,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/02/2008,1350,1530,1440
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/03/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/04/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/05/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/08/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/09/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/10/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/11/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/14/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/15/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/16/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/17/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/18/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/19/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/20/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/21/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/22/2008,1350,1540,1445
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/23/2008,1300,1530,1420
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/24/2008,1300,1540,1445
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/25/2008,1300,1540,1445
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/26/2008,1350,1540,1445
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/28/2008,1350,1540,1445
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/29/2008,1350,1540,1445
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,04/30/2008,1350,1540,1445
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/01/2008,1350,1540,1445
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/02/2008,1350,1540,1445
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/03/2008,1350,1540,1445
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/05/2008,1350,1540,1445
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/06/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/07/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/08/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/09/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/10/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/11/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/12/2008,1350,1550,1450
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/13/2008,1350,1540,1445
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/14/2008,1500,1800,1600
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/15/2008,1500,1800,1650
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/16/2008,1500,1800,1650
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/20/2008,1500,1800,1650
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/21/2008,1500,1800,1650
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/22/2008,1500,1800,1650
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/23/2008,1500,1800,1650
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/24/2008,1500,1800,1650
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/28/2008,1500,1800,1650
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/29/2008,1550,1850,1700
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/30/2008,1650,1850,1750
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,05/31/2008,1650,1850,1750
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/01/2008,1650,1850,1750
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/02/2008,1650,1850,1750
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/03/2008,1650,1850,1750
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/04/2008,1650,1850,1750
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/05/2008,1650,1850,1750
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/06/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/07/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/09/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/10/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/11/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/12/2008,1650,1850,1750
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/13/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/16/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/17/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/18/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/19/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/20/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/21/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/23/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/25/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/26/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,06/27/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/02/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/03/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/04/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/08/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/09/2008,1520,1800,1660
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/10/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/11/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/12/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/13/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/14/2008,1700,1900,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/15/2008,1900,2200,2000
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/17/2008,2000,2300,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/18/2008,2000,2300,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/19/2008,2000,2300,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/21/2008,2000,2300,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/22/2008,2000,2300,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/23/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/24/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/25/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/28/2008,1600,2060,1800
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/29/2008,1500,2070,1840
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,07/30/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/01/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/02/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/04/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/05/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/06/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/07/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/08/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/11/2008,1720,2070,1830
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/12/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/13/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/14/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/15/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/16/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/17/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/18/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/19/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/20/2008,2000,2400,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/22/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/23/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/24/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/25/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/26/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/27/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/28/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/29/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,08/30/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,09/20/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,09/22/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,09/23/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,09/24/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,09/25/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,09/26/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,09/29/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/01/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/13/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/14/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/15/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/16/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/17/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/21/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/22/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/23/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/24/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/25/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/27/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/29/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,10/30/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,11/05/2008,2100,2300,2200
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,11/06/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,11/07/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,11/11/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,11/13/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,11/14/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,11/21/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,11/27/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,11/28/2008,2000,2200,2100
Andhra Pradesh,Guntur,Bapatla,Rice,B P T,12/10/2008,2000,2200,2100
