State,District,Market,Commodity,Variety,Date,MIN Price,MAX Price,MODAL Price
Andhra Pradesh,Adilabad,Adilabad,Wheat,Dara,09/27/2010,0,0,1190
Andhra Pradesh,Adilabad,Adilabad,Wheat,Dara,09/28/2010,0,0,1180
Andhra Pradesh,Adilabad,Adilabad,Wheat,Dara,09/29/2010,0,0,1160
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/20/2010,1260,1431,1360
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/22/2010,1250,1299,1270
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,02/23/2010,1240,1265,1260
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/02/2010,1026,1099,1099
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/04/2010,1080,1203,1203
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/05/2010,1099,1135,1130
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/06/2010,1075,1171,1100
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/08/2010,1125,1208,1167
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/09/2010,1158,1170,1158
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/10/2010,1133,1210,1150
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/11/2010,1198,1235,1210
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/12/2010,1130,1301,1155
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/13/2010,1165,1310,1165
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/16/2010,1081,1296,1240
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/17/2010,1099,1250,1176
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/18/2010,1070,1290,1150
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/19/2010,1075,1280,1160
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/20/2010,1078,1299,1153
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/22/2010,1025,1241,1137
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/25/2010,1016,1141,1100
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/26/2010,1016,1133,1087
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/27/2010,1017,1200,1080
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,03/29/2010,1000,1201,1060
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/01/2010,1060,1238,1115
Andhra Pradesh,Adilabad,Khanapur,Wheat,Other,04/14/2010,1040,1206,1090
Andhra Pradesh,Karimnagar,Jammikunta,Wheat,Local,03/23/2010,1085,1085,1085
Andhra Pradesh,Karimnagar,Jammikunta,Wheat,Local,05/04/2010,1275,1275,1275
Andhra Pradesh,Karimnagar,Jammikunta,Wheat,Local,05/20/2010,1275,1275,1275
Andhra Pradesh,Karimnagar,Jammikunta,Wheat,Local,09/13/2010,1285,1285,1285
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/01/2010,1090,1100,1095
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/02/2010,1110,1120,1115
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/03/2010,1105,1120,1110
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/04/2010,1105,1120,1110
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/05/2010,1100,1110,1105
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/06/2010,1105,1120,1110
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/07/2010,1100,1120,1110
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/08/2010,1100,1120,1110
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/09/2010,1110,1120,1115
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/10/2010,1115,1130,1120
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/11/2010,1115,1130,1120
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/12/2010,1110,1120,1115
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/13/2010,1120,1130,1125
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/14/2010,1120,1130,1125
Andhra Pradesh,Mahbubnagar,Alampur,Wheat,Other,10/15/2010,1125,1145,1135
Andhra Pradesh,Medak,Zaheerabad,Wheat,Local,09/25/2010,1250,1250,1250
Andhra Pradesh,Medak,Zaheerabad,Wheat,Other,09/28/2010,1250,1250,1250
Andhra Pradesh,Ranga Reddy Dist.,Chevella,Wheat,Local,01/23/2010,1100,1100,1100
Andhra Pradesh,Ranga Reddy Dist.,Chevella,Wheat,Local,01/24/2010,1100,1100,1100
Andhra Pradesh,Ranga Reddy Dist.,Chevella,Wheat,Local,01/30/2010,1200,1200,1200
Andhra Pradesh,Ranga Reddy Dist.,Chevella,Wheat,Local,02/20/2010,1150,1150,1150
Andhra Pradesh,Visakhapatnam,Narsipatnam,Wheat,Lok-1,05/22/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/01/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/02/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/03/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/04/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/05/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/06/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/08/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/09/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/10/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/11/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/12/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/13/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/14/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/15/2010,1800,2000,1900
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/16/2010,1900,2100,2000
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/17/2010,1900,2100,2000
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/18/2010,1900,2100,2000
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/19/2010,1900,2100,2000
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/20/2010,1900,2100,2000
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/21/2010,1900,2100,2000
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/22/2010,1900,2100,2000
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/23/2010,1900,2100,2000
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/24/2010,1900,2100,2000
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/25/2010,1900,2100,2000
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/26/2010,1900,2100,2000
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/27/2010,1900,2100,2000
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Wheat,Lok-1,01/28/2010,1900,2100,2000
