State,District,Market,Commodity,Variety,Date,MIN Price,MAX Price,MODAL Price
Andhra Pradesh,Cuddapah,Cuddapah,Wheat,Other,06/29/2011,1000,1050,1025
Andhra Pradesh,Cuddapah,Cuddapah,Wheat,Other,06/30/2011,1000,1100,1050
Andhra Pradesh,Khammam,Nagur,Wheat,Other,08/09/2011,1175,1250,1210
Andhra Pradesh,Khammam,Nagur,Wheat,Other,08/27/2011,1050,1200,1125
Andhra Pradesh,Khammam,Nagur,Wheat,Other,10/10/2011,900,1100,1000
Andhra Pradesh,Khammam,Nagur,Wheat,Other,10/21/2011,1000,1150,1075
Andhra Pradesh,Khammam,Nagur,Wheat,Other,10/22/2011,1000,1150,1075
Andhra Pradesh,Khammam,Nagur,Wheat,Other,11/28/2011,1000,1050,1025
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,06/22/2011,1120,1120,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,06/23/2011,1120,1120,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,06/24/2011,1050,1150,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,06/27/2011,1100,1140,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,06/28/2011,1000,1200,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,06/29/2011,1100,1150,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,06/30/2011,1000,1200,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/01/2011,1100,1150,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/02/2011,1000,1200,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/03/2011,1000,1200,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/04/2011,1000,1200,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/05/2011,1025,1200,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/06/2011,1050,1250,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/07/2011,1050,1250,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/08/2011,1050,1250,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/09/2011,1050,1250,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/10/2011,1050,1250,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/11/2011,1100,1250,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/12/2011,1080,1280,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/13/2011,1060,1200,1125
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/14/2011,1050,1250,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/15/2011,1050,1250,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/16/2011,1000,1200,1100
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/17/2011,1000,1200,1100
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/18/2011,1025,1180,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/19/2011,1000,1200,1100
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/20/2011,1000,1200,1100
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/21/2011,1000,1200,1100
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/22/2011,1000,1200,1100
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/23/2011,1000,1200,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/24/2011,1000,1200,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/25/2011,1020,1200,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/26/2011,1000,1200,1100
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/27/2011,1000,1200,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/28/2011,1000,1200,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,07/29/2011,1000,1180,1100
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/01/2011,1000,1150,1100
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/02/2011,1000,1150,1100
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/03/2011,1000,1150,1120
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/04/2011,1000,1150,1100
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/05/2011,1020,1150,1100
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/12/2011,0,0,1100
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/14/2011,1000,1100,1060
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/15/2011,1000,1100,1040
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/16/2011,1000,1100,1060
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/17/2011,1000,1100,1050
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/18/2011,1000,1100,1050
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/20/2011,1000,1100,1050
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/21/2011,1000,1150,1080
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/22/2011,1000,1100,1050
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/23/2011,1000,1100,1050
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,08/26/2011,1000,1100,1050
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,09/19/2011,1000,1050,1025
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,09/20/2011,1000,1050,1020
Andhra Pradesh,Nizamabad,Banswada,Wheat,Other,09/21/2011,1000,1050,1025
